trial_index,scenario_id,choice,outcome,ev_chosen,ev_optimal,optimal_choice,is_optimal,cumulative_pnl,current_streak,frame,agent_id,agent_type
37,7b8e74ce,risky,100.0,85.0,85.0,risky,True,700.0,1,neutral,rational_000,rational
38,31fe3aa2,safe,10.0,10.0,10.0,safe,True,710.0,2,neutral,rational_000,rational
39,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,680.0,-1,neutral,rational_000,rational
40,11a749e7,risky,100.0,40.0,40.0,risky,True,780.0,1,neutral,rational_000,rational
41,951c249d,risky,-50.0,32.5,32.5,risky,True,730.0,-1,neutral,rational_000,rational
42,7b8e74ce,risky,100.0,85.0,85.0,risky,True,830.0,1,neutral,rational_000,rational
43,31fe3aa2,safe,10.0,10.0,10.0,safe,True,840.0,2,neutral,rational_000,rational
44,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,810.0,-1,neutral,rational_000,rational
45,11a749e7,risky,100.0,40.0,40.0,risky,True,910.0,1,neutral,rational_000,rational
46,951c249d,risky,-50.0,32.5,32.5,risky,True,860.0,-1,neutral,rational_000,rational
47,7b8e74ce,risky,100.0,85.0,85.0,risky,True,960.0,1,neutral,rational_000,rational
48,31fe3aa2,safe,10.0,10.0,10.0,safe,True,970.0,2,neutral,rational_000,rational
49,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,940.0,-1,neutral,rational_000,rational
50,11a749e7,risky,100.0,40.0,40.0,risky,True,1040.0,1,neutral,rational_000,rational
51,951c249d,risky,-50.0,32.5,32.5,risky,True,990.0,-1,neutral,rational_000,rational
52,7b8e74ce,risky,100.0,85.0,85.0,risky,True,1090.0,1,neutral,rational_000,rational
53,31fe3aa2,safe,10.0,10.0,10.0,safe,True,1100.0,2,neutral,rational_000,rational
54,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,1070.0,-1,neutral,rational_000,rational
55,11a749e7,risky,100.0,40.0,40.0,risky,True,1170.0,1,neutral,rational_000,rational
56,951c249d,risky,-50.0,32.5,32.5,risky,True,1120.0,-1,neutral,rational_000,rational
57,7b8e74ce,risky,100.0,85.0,85.0,risky,True,1220.0,1,neutral,rational_000,rational
58,31fe3aa2,safe,10.0,10.0,10.0,safe,True,1230.0,2,neutral,rational_000,rational
59,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,1200.0,-1,neutral,rational_000,rational
0,11a749e7,risky,100.0,40.0,40.0,risky,True,100.0,1,neutral,rational_001,rational
1,951c249d,risky,-50.0,32.5,32.5,risky,True,50.0,-1,neutral,rational_001,rational
2,7b8e74ce,risky,100.0,85.0,85.0,risky,True,150.0,1,neutral,rational_001,rational
3,31fe3aa2,safe,10.0,10.0,10.0,safe,True,160.0,2,neutral,rational_001,rational
4,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,130.0,-1,neutral,rational_001,rational
5,11a749e7,risky,-20.0,40.0,40.0,risky,True,110.0,-2,neutral,rational_001,rational
6,951c249d,risky,-50.0,32.5,32.5,risky,True,60.0,-3,neutral,rational_001,rational
7,7b8e74ce,risky,100.0,85.0,85.0,risky,True,160.0,1,neutral,rational_001,rational
8,31fe3aa2,safe,10.0,10.0,10.0,safe,True,170.0,2,neutral,rational_001,rational
9,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,140.0,-1,neutral,rational_001,rational
10,11a749e7,risky,-20.0,40.0,40.0,risky,True,120.0,-2,neutral,rational_001,rational
11,951c249d,risky,-50.0,32.5,32.5,risky,True,70.0,-3,neutral,rational_001,rational
12,7b8e74ce,risky,100.0,85.0,85.0,risky,True,170.0,1,neutral,rational_001,rational
13,31fe3aa2,safe,10.0,10.0,10.0,safe,True,180.0,2,neutral,rational_001,rational
14,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,150.0,-1,neutral,rational_001,rational
15,11a749e7,risky,-20.0,40.0,40.0,risky,True,130.0,-2,neutral,rational_001,rational
16,951c249d,risky,-50.0,32.5,32.5,risky,True,80.0,-3,neutral,rational_001,rational
17,7b8e74ce,risky,100.0,85.0,85.0,risky,True,180.0,1,neutral,rational_001,rational
18,31fe3aa2,safe,10.0,10.0,10.0,safe,True,190.0,2,neutral,rational_001,rational
19,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,160.0,-1,neutral,rational_001,rational
20,11a749e7,risky,100.0,40.0,40.0,risky,True,260.0,1,neutral,rational_001,rational
21,951c249d,risky,-50.0,32.5,32.5,risky,True,210.0,-1,neutral,rational_001,rational
22,7b8e74ce,risky,100.0,85.0,85.0,risky,True,310.0,1,neutral,rational_001,rational
23,31fe3aa2,safe,10.0,10.0,10.0,safe,True,320.0,2,neutral,rational_001,rational
24,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,290.0,-1,neutral,rational_001,rational
25,11a749e7,risky,-20.0,40.0,40.0,risky,True,270.0,-2,neutral,rational_001,rational
26,951c249d,risky,-50.0,32.5,32.5,risky,True,220.0,-3,neutral,rational_001,rational
27,7b8e74ce,risky,100.0,85.0,85.0,risky,True,320.0,1,neutral,rational_001,rational
28,31fe3aa2,safe,10.0,10.0,10.0,safe,True,330.0,2,neutral,rational_001,rational
29,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,300.0,-1,neutral,rational_001,rational
30,11a749e7,risky,100.0,40.0,40.0,risky,True,400.0,1,neutral,rational_001,rational
31,951c249d,risky,-50.0,32.5,32.5,risky,True,350.0,-1,neutral,rational_001,rational
32,7b8e74ce,risky,100.0,85.0,85.0,risky,True,450.0,1,neutral,rational_001,rational
33,31fe3aa2,safe,10.0,10.0,10.0,safe,True,460.0,2,neutral,rational_001,rational
34,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,430.0,-1,neutral,rational_001,rational
35,11a749e7,risky,-20.0,40.0,40.0,risky,True,410.0,-2,neutral,rational_001,rational
36,951c249d,risky,-50.0,32.5,32.5,risky,True,360.0,-3,neutral,rational_001,rational
37,7b8e74ce,risky,100.0,85.0,85.0,risky,True,460.0,1,neutral,rational_001,rational
38,31fe3aa2,safe,10.0,10.0,10.0,safe,True,470.0,2,neutral,rational_001,rational
39,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,440.0,-1,neutral,rational_001,rational
40,11a749e7,risky,-20.0,40.0,40.0,risky,True,420.0,-2,neutral,rational_001,rational
41,951c249d,risky,-50.0,32.5,32.5,risky,True,370.0,-3,neutral,rational_001,rational
42,7b8e74ce,risky,100.0,85.0,85.0,risky,True,470.0,1,neutral,rational_001,rational
43,31fe3aa2,safe,10.0,10.0,10.0,safe,True,480.0,2,neutral,rational_001,rational
44,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,450.0,-1,neutral,rational_001,rational
45,11a749e7,risky,100.0,40.0,40.0,risky,True,550.0,1,neutral,rational_001,rational
46,951c249d,risky,-50.0,32.5,32.5,risky,True,500.0,-1,neutral,rational_001,rational
47,7b8e74ce,risky,-200.0,85.0,85.0,risky,True,300.0,-2,neutral,rational_001,rational
48,31fe3aa2,safe,10.0,10.0,10.0,safe,True,310.0,1,neutral,rational_001,rational
49,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,280.0,-1,neutral,rational_001,rational
50,11a749e7,risky,-20.0,40.0,40.0,risky,True,260.0,-2,neutral,rational_001,rational
51,951c249d,risky,500.0,32.5,32.5,risky,True,760.0,1,neutral,rational_001,rational
52,7b8e74ce,risky,100.0,85.0,85.0,risky,True,860.0,2,neutral,rational_001,rational
53,31fe3aa2,safe,10.0,10.0,10.0,safe,True,870.0,3,neutral,rational_001,rational
54,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,840.0,-1,neutral,rational_001,rational
55,11a749e7,risky,100.0,40.0,40.0,risky,True,940.0,1,neutral,rational_001,rational
56,951c249d,risky,-50.0,32.5,32.5,risky,True,890.0,-1,neutral,rational_001,rational
57,7b8e74ce,risky,100.0,85.0,85.0,risky,True,990.0,1,neutral,rational_001,rational
58,31fe3aa2,safe,10.0,10.0,10.0,safe,True,1000.0,2,neutral,rational_001,rational
59,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,970.0,-1,neutral,rational_001,rational
0,11a749e7,risky,-20.0,40.0,40.0,risky,True,-20.0,-1,neutral,rational_002,rational
1,951c249d,risky,-50.0,32.5,32.5,risky,True,-70.0,-2,neutral,rational_002,rational
2,7b8e74ce,risky,100.0,85.0,85.0,risky,True,30.0,1,neutral,rational_002,rational
3,31fe3aa2,safe,10.0,10.0,10.0,safe,True,40.0,2,neutral,rational_002,rational
4,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,10.0,-1,neutral,rational_002,rational
5,11a749e7,risky,-20.0,40.0,40.0,risky,True,-10.0,-2,neutral,rational_002,rational
6,951c249d,risky,500.0,32.5,32.5,risky,True,490.0,1,neutral,rational_002,rational
7,7b8e74ce,risky,100.0,85.0,85.0,risky,True,590.0,2,neutral,rational_002,rational
8,31fe3aa2,safe,10.0,10.0,10.0,safe,True,600.0,3,neutral,rational_002,rational
9,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,570.0,-1,neutral,rational_002,rational
10,11a749e7,risky,100.0,40.0,40.0,risky,True,670.0,1,neutral,rational_002,rational
11,951c249d,risky,-50.0,32.5,32.5,risky,True,620.0,-1,neutral,rational_002,rational
12,7b8e74ce,risky,100.0,85.0,85.0,risky,True,720.0,1,neutral,rational_002,rational
13,31fe3aa2,safe,10.0,10.0,10.0,safe,True,730.0,2,neutral,rational_002,rational
14,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,700.0,-1,neutral,rational_002,rational
15,11a749e7,risky,100.0,40.0,40.0,risky,True,800.0,1,neutral,rational_002,rational
16,951c249d,risky,-50.0,32.5,32.5,risky,True,750.0,-1,neutral,rational_002,rational
17,7b8e74ce,risky,100.0,85.0,85.0,risky,True,850.0,1,neutral,rational_002,rational
18,31fe3aa2,safe,10.0,10.0,10.0,safe,True,860.0,2,neutral,rational_002,rational
19,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,830.0,-1,neutral,rational_002,rational
20,11a749e7,risky,100.0,40.0,40.0,risky,True,930.0,1,neutral,rational_002,rational
21,951c249d,risky,-50.0,32.5,32.5,risky,True,880.0,-1,neutral,rational_002,rational
22,7b8e74ce,risky,100.0,85.0,85.0,risky,True,980.0,1,neutral,rational_002,rational
23,31fe3aa2,safe,10.0,10.0,10.0,safe,True,990.0,2,neutral,rational_002,rational
24,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,960.0,-1,neutral,rational_002,rational
25,11a749e7,risky,100.0,40.0,40.0,risky,True,1060.0,1,neutral,rational_002,rational
26,951c249d,risky,-50.0,32.5,32.5,risky,True,1010.0,-1,neutral,rational_002,rational
27,7b8e74ce,risky,100.0,85.0,85.0,risky,True,1110.0,1,neutral,rational_002,rational
28,31fe3aa2,safe,10.0,10.0,10.0,safe,True,1120.0,2,neutral,rational_002,rational
29,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,1090.0,-1,neutral,rational_002,rational
30,11a749e7,risky,100.0,40.0,40.0,risky,True,1190.0,1,neutral,rational_002,rational
31,951c249d,risky,-50.0,32.5,32.5,risky,True,1140.0,-1,neutral,rational_002,rational
32,7b8e74ce,risky,100.0,85.0,85.0,risky,True,1240.0,1,neutral,rational_002,rational
33,31fe3aa2,safe,10.0,10.0,10.0,safe,True,1250.0,2,neutral,rational_002,rational
34,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,1220.0,-1,neutral,rational_002,rational
35,11a749e7,risky,-20.0,40.0,40.0,risky,True,1200.0,-2,neutral,rational_002,rational
36,951c249d,risky,500.0,32.5,32.5,risky,True,1700.0,1,neutral,rational_002,rational
37,7b8e74ce,risky,100.0,85.0,85.0,risky,True,1800.0,2,neutral,rational_002,rational
38,31fe3aa2,safe,10.0,10.0,10.0,safe,True,1810.0,3,neutral,rational_002,rational
39,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,1780.0,-1,neutral,rational_002,rational
40,11a749e7,risky,100.0,40.0,40.0,risky,True,1880.0,1,neutral,rational_002,rational
41,951c249d,risky,-50.0,32.5,32.5,risky,True,1830.0,-1,neutral,rational_002,rational
42,7b8e74ce,risky,100.0,85.0,85.0,risky,True,1930.0,1,neutral,rational_002,rational
43,31fe3aa2,safe,10.0,10.0,10.0,safe,True,1940.0,2,neutral,rational_002,rational
44,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,1910.0,-1,neutral,rational_002,rational
45,11a749e7,risky,100.0,40.0,40.0,risky,True,2010.0,1,neutral,rational_002,rational
46,951c249d,risky,-50.0,32.5,32.5,risky,True,1960.0,-1,neutral,rational_002,rational
47,7b8e74ce,risky,100.0,85.0,85.0,risky,True,2060.0,1,neutral,rational_002,rational
48,31fe3aa2,safe,10.0,10.0,10.0,safe,True,2070.0,2,neutral,rational_002,rational
49,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,2040.0,-1,neutral,rational_002,rational
50,11a749e7,risky,-20.0,40.0,40.0,risky,True,2020.0,-2,neutral,rational_002,rational
51,951c249d,risky,-50.0,32.5,32.5,risky,True,1970.0,-3,neutral,rational_002,rational
52,7b8e74ce,risky,100.0,85.0,85.0,risky,True,2070.0,1,neutral,rational_002,rational
53,31fe3aa2,safe,10.0,10.0,10.0,safe,True,2080.0,2,neutral,rational_002,rational
54,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,2050.0,-1,neutral,rational_002,rational
55,11a749e7,risky,100.0,40.0,40.0,risky,True,2150.0,1,neutral,rational_002,rational
56,951c249d,risky,-50.0,32.5,32.5,risky,True,2100.0,-1,neutral,rational_002,rational
57,7b8e74ce,risky,100.0,85.0,85.0,risky,True,2200.0,1,neutral,rational_002,rational
58,31fe3aa2,safe,10.0,10.0,10.0,safe,True,2210.0,2,neutral,rational_002,rational
59,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,2180.0,-1,neutral,rational_002,rational
0,11a749e7,risky,-20.0,40.0,40.0,risky,True,-20.0,-1,neutral,rational_003,rational
1,951c249d,risky,-50.0,32.5,32.5,risky,True,-70.0,-2,neutral,rational_003,rational
2,7b8e74ce,risky,100.0,85.0,85.0,risky,True,30.0,1,neutral,rational_003,rational
3,31fe3aa2,safe,10.0,10.0,10.0,safe,True,40.0,2,neutral,rational_003,rational
4,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,10.0,-1,neutral,rational_003,rational
5,11a749e7,risky,-20.0,40.0,40.0,risky,True,-10.0,-2,neutral,rational_003,rational
6,951c249d,risky,-50.0,32.5,32.5,risky,True,-60.0,-3,neutral,rational_003,rational
7,7b8e74ce,risky,-200.0,85.0,85.0,risky,True,-260.0,-4,neutral,rational_003,rational
8,31fe3aa2,safe,10.0,10.0,10.0,safe,True,-250.0,1,neutral,rational_003,rational
9,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,-280.0,-1,neutral,rational_003,rational
10,11a749e7,risky,-20.0,40.0,40.0,risky,True,-300.0,-2,neutral,rational_003,rational
11,951c249d,risky,-50.0,32.5,32.5,risky,True,-350.0,-3,neutral,rational_003,rational
12,7b8e74ce,risky,100.0,85.0,85.0,risky,True,-250.0,1,neutral,rational_003,rational
13,31fe3aa2,safe,10.0,10.0,10.0,safe,True,-240.0,2,neutral,rational_003,rational
14,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,-270.0,-1,neutral,rational_003,rational
15,11a749e7,risky,100.0,40.0,40.0,risky,True,-170.0,1,neutral,rational_003,rational
16,951c249d,risky,-50.0,32.5,32.5,risky,True,-220.0,-1,neutral,rational_003,rational
17,7b8e74ce,risky,100.0,85.0,85.0,risky,True,-120.0,1,neutral,rational_003,rational
18,31fe3aa2,safe,10.0,10.0,10.0,safe,True,-110.0,2,neutral,rational_003,rational
19,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,-140.0,-1,neutral,rational_003,rational
20,11a749e7,risky,-20.0,40.0,40.0,risky,True,-160.0,-2,neutral,rational_003,rational
21,951c249d,risky,500.0,32.5,32.5,risky,True,340.0,1,neutral,rational_003,rational
22,7b8e74ce,risky,100.0,85.0,85.0,risky,True,440.0,2,neutral,rational_003,rational
23,31fe3aa2,safe,10.0,10.0,10.0,safe,True,450.0,3,neutral,rational_003,rational
24,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,420.0,-1,neutral,rational_003,rational
25,11a749e7,risky,100.0,40.0,40.0,risky,True,520.0,1,neutral,rational_003,rational
26,951c249d,risky,-50.0,32.5,32.5,risky,True,470.0,-1,neutral,rational_003,rational
27,7b8e74ce,risky,100.0,85.0,85.0,risky,True,570.0,1,neutral,rational_003,rational
28,31fe3aa2,safe,10.0,10.0,10.0,safe,True,580.0,2,neutral,rational_003,rational
29,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,550.0,-1,neutral,rational_003,rational
30,11a749e7,risky,-20.0,40.0,40.0,risky,True,530.0,-2,neutral,rational_003,rational
31,951c249d,risky,500.0,32.5,32.5,risky,True,1030.0,1,neutral,rational_003,rational
32,7b8e74ce,risky,100.0,85.0,85.0,risky,True,1130.0,2,neutral,rational_003,rational
33,31fe3aa2,safe,10.0,10.0,10.0,safe,True,1140.0,3,neutral,rational_003,rational
34,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,1110.0,-1,neutral,rational_003,rational
35,11a749e7,risky,100.0,40.0,40.0,risky,True,1210.0,1,neutral,rational_003,rational
36,951c249d,risky,-50.0,32.5,32.5,risky,True,1160.0,-1,neutral,rational_003,rational
37,7b8e74ce,risky,100.0,85.0,85.0,risky,True,1260.0,1,neutral,rational_003,rational
38,31fe3aa2,safe,10.0,10.0,10.0,safe,True,1270.0,2,neutral,rational_003,rational
39,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,1240.0,-1,neutral,rational_003,rational
40,11a749e7,risky,100.0,40.0,40.0,risky,True,1340.0,1,neutral,rational_003,rational
41,951c249d,risky,-50.0,32.5,32.5,risky,True,1290.0,-1,neutral,rational_003,rational
42,7b8e74ce,risky,100.0,85.0,85.0,risky,True,1390.0,1,neutral,rational_003,rational
43,31fe3aa2,safe,10.0,10.0,10.0,safe,True,1400.0,2,neutral,rational_003,rational
44,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,1370.0,-1,neutral,rational_003,rational
45,11a749e7,risky,100.0,40.0,40.0,risky,True,1470.0,1,neutral,rational_003,rational
46,951c249d,risky,-50.0,32.5,32.5,risky,True,1420.0,-1,neutral,rational_003,rational
47,7b8e74ce,risky,100.0,85.0,85.0,risky,True,1520.0,1,neutral,rational_003,rational
48,31fe3aa2,safe,10.0,10.0,10.0,safe,True,1530.0,2,neutral,rational_003,rational
49,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,1500.0,-1,neutral,rational_003,rational
50,11a749e7,risky,-20.0,40.0,40.0,risky,True,1480.0,-2,neutral,rational_003,rational
51,951c249d,risky,500.0,32.5,32.5,risky,True,1980.0,1,neutral,rational_003,rational
52,7b8e74ce,risky,100.0,85.0,85.0,risky,True,2080.0,2,neutral,rational_003,rational
53,31fe3aa2,safe,10.0,10.0,10.0,safe,True,2090.0,3,neutral,rational_003,rational
54,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,2060.0,-1,neutral,rational_003,rational
55,11a749e7,risky,-20.0,40.0,40.0,risky,True,2040.0,-2,neutral,rational_003,rational
56,951c249d,risky,-50.0,32.5,32.5,risky,True,1990.0,-3,neutral,rational_003,rational
57,7b8e74ce,risky,100.0,85.0,85.0,risky,True,2090.0,1,neutral,rational_003,rational
58,31fe3aa2,safe,10.0,10.0,10.0,safe,True,2100.0,2,neutral,rational_003,rational
59,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,2070.0,-1,neutral,rational_003,rational
0,11a749e7,risky,100.0,40.0,40.0,risky,True,100.0,1,neutral,rational_004,rational
1,951c249d,risky,500.0,32.5,32.5,risky,True,600.0,2,neutral,rational_004,rational
2,7b8e74ce,risky,100.0,85.0,85.0,risky,True,700.0,3,neutral,rational_004,rational
3,31fe3aa2,safe,10.0,10.0,10.0,safe,True,710.0,4,neutral,rational_004,rational
4,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,680.0,-1,neutral,rational_004,rational
5,11a749e7,risky,-20.0,40.0,40.0,risky,True,660.0,-2,neutral,rational_004,rational
6,951c249d,risky,-50.0,32.5,32.5,risky,True,610.0,-3,neutral,rational_004,rational
7,7b8e74ce,risky,100.0,85.0,85.0,risky,True,710.0,1,neutral,rational_004,rational
8,31fe3aa2,safe,10.0,10.0,10.0,safe,True,720.0,2,neutral,rational_004,rational
9,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,690.0,-1,neutral,rational_004,rational
10,11a749e7,risky,-20.0,40.0,40.0,risky,True,670.0,-2,neutral,rational_004,rational
11,951c249d,risky,-50.0,32.5,32.5,risky,True,620.0,-3,neutral,rational_004,rational
12,7b8e74ce,risky,100.0,85.0,85.0,risky,True,720.0,1,neutral,rational_004,rational
13,31fe3aa2,safe,10.0,10.0,10.0,safe,True,730.0,2,neutral,rational_004,rational
14,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,700.0,-1,neutral,rational_004,rational
15,11a749e7,risky,-20.0,40.0,40.0,risky,True,680.0,-2,neutral,rational_004,rational
16,951c249d,risky,-50.0,32.5,32.5,risky,True,630.0,-3,neutral,rational_004,rational
17,7b8e74ce,risky,100.0,85.0,85.0,risky,True,730.0,1,neutral,rational_004,rational
18,31fe3aa2,safe,10.0,10.0,10.0,safe,True,740.0,2,neutral,rational_004,rational
19,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,710.0,-1,neutral,rational_004,rational
20,11a749e7,risky,100.0,40.0,40.0,risky,True,810.0,1,neutral,rational_004,rational
21,951c249d,risky,-50.0,32.5,32.5,risky,True,760.0,-1,neutral,rational_004,rational
22,7b8e74ce,risky,100.0,85.0,85.0,risky,True,860.0,1,neutral,rational_004,rational
23,31fe3aa2,safe,10.0,10.0,10.0,safe,True,870.0,2,neutral,rational_004,rational
24,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,840.0,-1,neutral,rational_004,rational
25,11a749e7,risky,-20.0,40.0,40.0,risky,True,820.0,-2,neutral,rational_004,rational
26,951c249d,risky,-50.0,32.5,32.5,risky,True,770.0,-3,neutral,rational_004,rational
27,7b8e74ce,risky,100.0,85.0,85.0,risky,True,870.0,1,neutral,rational_004,rational
28,31fe3aa2,safe,10.0,10.0,10.0,safe,True,880.0,2,neutral,rational_004,rational
29,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,850.0,-1,neutral,rational_004,rational
30,11a749e7,risky,-20.0,40.0,40.0,risky,True,830.0,-2,neutral,rational_004,rational
31,951c249d,risky,-50.0,32.5,32.5,risky,True,780.0,-3,neutral,rational_004,rational
32,7b8e74ce,risky,100.0,85.0,85.0,risky,True,880.0,1,neutral,rational_004,rational
33,31fe3aa2,safe,10.0,10.0,10.0,safe,True,890.0,2,neutral,rational_004,rational
34,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,860.0,-1,neutral,rational_004,rational
35,11a749e7,risky,100.0,40.0,40.0,risky,True,960.0,1,neutral,rational_004,rational
36,951c249d,risky,-50.0,32.5,32.5,risky,True,910.0,-1,neutral,rational_004,rational
37,7b8e74ce,risky,100.0,85.0,85.0,risky,True,1010.0,1,neutral,rational_004,rational
38,31fe3aa2,safe,10.0,10.0,10.0,safe,True,1020.0,2,neutral,rational_004,rational
39,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,990.0,-1,neutral,rational_004,rational
40,11a749e7,risky,-20.0,40.0,40.0,risky,True,970.0,-2,neutral,rational_004,rational
41,951c249d,risky,-50.0,32.5,32.5,risky,True,920.0,-3,neutral,rational_004,rational
42,7b8e74ce,risky,100.0,85.0,85.0,risky,True,1020.0,1,neutral,rational_004,rational
43,31fe3aa2,safe,10.0,10.0,10.0,safe,True,1030.0,2,neutral,rational_004,rational
44,e5e871d4,safe,-30.0,-30.0,-30.0,safe,True,1000.0,-1,neutral,rational_004,rational
